Energy[keV],Count,
10.250,384,
10.260,368,
10.270,364,
10.280,388,
10.290,358,
10.300,410,
10.310,384,
10.320,418,
10.330,374,
10.340,410,
10.350,399,
10.360,362,
10.370,400,
10.380,379,
10.390,364,
10.400,360,
10.410,367,
10.420,367,
10.430,363,
10.440,370,
10.450,367,
10.460,389,
10.470,400,
10.480,354,
10.490,369,
10.500,391,
10.510,342,
10.520,387,
10.530,396,
10.540,358,
10.550,371,
10.560,368,
10.570,368,
10.580,365,
10.590,352,
10.600,369,
10.610,407,
10.620,344,
10.630,367,
10.640,334,
10.650,333,
10.660,335,
10.670,366,
10.680,342,
10.690,328,
10.700,315,
10.710,338,
10.720,371,
10.730,370,
10.740,325,
10.750,339,
10.760,300,
10.770,339,
10.780,322,
10.790,358,
10.800,293,
10.810,310,
10.820,337,
10.830,370,
10.840,325,
10.850,338,
10.860,310,
10.870,321,
10.880,368,
10.890,319,
10.900,300,
10.910,360,
10.920,312,
10.930,305,
10.940,326,
10.950,321,
10.960,335,
10.970,322,
10.980,329,
10.990,310,
11.000,322,
11.010,317,
11.020,349,
11.030,341,
11.040,352,
11.050,370,
11.060,362,
11.070,313,
11.080,337,
11.090,324,
11.100,325,
11.110,327,
11.120,325,
11.130,287,
11.140,335,
11.150,337,
11.160,335,
11.170,296,
11.180,316,
11.190,330,
11.200,298,
11.210,294,
11.220,327,
11.230,301,
11.240,317,
11.250,290,
11.260,318,
11.270,291,
11.280,332,
11.290,303,
11.300,282,
11.310,316,
11.320,309,
11.330,332,
11.340,289,
11.350,325,
11.360,290,
11.370,324,
11.380,285,
11.390,296,
11.400,290,
11.410,339,
11.420,316,
11.430,315,
11.440,286,
11.450,294,
11.460,293,
11.470,332,
11.480,358,
11.490,300,
11.500,316,
11.510,291,
11.520,315,
11.530,302,
11.540,314,
11.550,290,
11.560,317,
11.570,306,
11.580,305,
11.590,311,
11.600,316,
11.610,275,
11.620,305,
11.630,299,
11.640,306,
11.650,289,
11.660,301,
11.670,277,
11.680,265,
11.690,260,
11.700,282,
11.710,309,
11.720,293,
11.730,311,
11.740,266,
11.750,294,
11.760,318,
11.770,250,
11.780,284,
11.790,277,
11.800,279,
11.810,275,
11.820,282,
11.830,272,
11.840,257,
11.850,288,
11.860,286,
11.870,281,
11.880,253,
11.890,260,
11.900,261,
11.910,278,
11.920,280,
11.930,275,
11.940,274,
11.950,274,
11.960,268,
11.970,272,
11.980,254,
11.990,293,
12.000,270,
12.010,292,
12.020,290,
12.030,277,
12.040,265,
12.050,256,
12.060,290,
12.070,288,
12.080,287,
12.090,287,
12.100,280,
12.110,246,
12.120,263,
12.130,247,
12.140,269,
12.150,280,
12.160,282,
12.170,277,
12.180,259,
12.190,246,
12.200,273,
12.210,282,
12.220,279,
12.230,234,
12.240,263,
12.250,254,
12.260,263,
12.270,255,
12.280,258,
12.290,248,
12.300,250,
12.310,256,
12.320,271,
12.330,276,
12.340,245,
12.350,264,
12.360,244,
12.370,258,
12.380,283,
12.390,236,
12.400,252,
12.410,255,
12.420,251,
12.430,261,
12.440,233,
12.450,212,
12.460,260,
12.470,258,
12.480,260,
12.490,248,
12.500,254,
12.510,258,
12.520,262,
12.530,269,
12.540,244,
12.550,232,
12.560,257,
12.570,216,
12.580,260,
12.590,242,
12.600,238,
12.610,285,
12.620,256,
12.630,239,
12.640,281,
12.650,262,
12.660,251,
12.670,244,
12.680,252,
12.690,246,
12.700,272,
12.710,250,
12.720,206,
12.730,259,
12.740,259,
12.750,233,
12.760,244,
12.770,262,
12.780,213,
12.790,272,
12.800,241,
12.810,234,
12.820,223,
12.830,230,
12.840,227,
12.850,263,
12.860,240,
12.870,225,
12.880,207,
12.890,216,
12.900,205,
12.910,256,
12.920,230,
12.930,230,
12.940,253,
12.950,252,
12.960,224,
12.970,242,
12.980,252,
12.990,231,
13.000,257,
13.010,232,
13.020,242,
13.030,281,
13.040,208,
13.050,231,
13.060,206,
13.070,232,
13.080,225,
13.090,217,
13.100,255,
13.110,209,
13.120,224,
13.130,196,
13.140,224,
13.150,265,
13.160,218,
13.170,223,
13.180,217,
13.190,196,
13.200,201,
13.210,223,
13.220,213,
13.230,214,
13.240,230,
13.250,203,
13.260,248,
13.270,217,
13.280,204,
13.290,226,
13.300,226,
13.310,203,
13.320,217,
13.330,215,
13.340,243,
13.350,243,
13.360,224,
13.370,229,
13.380,205,
13.390,210,
13.400,222,
13.410,234,
13.420,198,
13.430,234,
13.440,199,
13.450,209,
13.460,214,
13.470,198,
13.480,214,
13.490,222,
13.500,238,
13.510,217,
13.520,193,
13.530,209,
13.540,222,
13.550,208,
13.560,232,
13.570,186,
13.580,191,
13.590,218,
13.600,212,
13.610,187,
13.620,205,
13.630,188,
13.640,222,
13.650,224,
13.660,198,
13.670,193,
13.680,206,
13.690,181,
13.700,196,
13.710,214,
13.720,206,
13.730,202,
13.740,177,
13.750,199,
13.760,182,
13.770,202,
13.780,223,
13.790,196,
13.800,226,
13.810,174,
13.820,237,
13.830,167,
13.840,237,
13.850,180,
13.860,203,
13.870,200,
13.880,201,
13.890,185,
13.900,183,
13.910,189,
13.920,206,
13.930,200,
13.940,203,
13.950,184,
13.960,180,
13.970,177,
13.980,195,
13.990,201,
14.000,205,
14.010,189,
14.020,197,
14.030,186,
14.040,204,
14.050,182,
14.060,214,
14.070,215,
14.080,211,
14.090,189,
14.100,190,
14.110,185,
14.120,183,
14.130,177,
14.140,207,
14.150,172,
14.160,181,
14.170,189,
14.180,194,
14.190,173,
14.200,164,
14.210,183,
14.220,170,
14.230,179,
14.240,184,
14.250,198,
14.260,207,
14.270,169,
14.280,188,
14.290,190,
14.300,169,
14.310,188,
14.320,193,
14.330,192,
14.340,204,
14.350,197,
14.360,187,
14.370,188,
14.380,186,
14.390,182,
14.400,184,
14.410,176,
14.420,165,
14.430,182,
14.440,154,
14.450,200,
14.460,207,
14.470,193,
14.480,171,
14.490,203,
14.500,180,
14.510,187,
14.520,176,
14.530,191,
14.540,192,
14.550,174,
14.560,191,
14.570,174,
14.580,164,
14.590,164,
14.600,181,
14.610,211,
14.620,179,
14.630,201,
14.640,172,
14.650,139,
14.660,147,
14.670,168,
14.680,159,
14.690,173,
14.700,177,
14.710,163,
14.720,185,
14.730,191,
14.740,192,
14.750,178,
14.760,182,
14.770,174,
14.780,180,
14.790,170,
14.800,157,
14.810,182,
14.820,152,
14.830,175,
14.840,172,
14.850,172,
14.860,164,
14.870,200,
14.880,195,
14.890,209,
14.900,186,
14.910,166,
14.920,171,
14.930,161,
14.940,173,
14.950,170,
14.960,189,
14.970,190,
14.980,143,
14.990,143,
15.000,174,
15.010,147,
15.020,177,
15.030,173,
15.040,192,
15.050,155,
15.060,138,
15.070,139,
15.080,156,
15.090,148,
15.100,166,
15.110,163,
15.120,168,
15.130,150,
15.140,140,
15.150,143,
15.160,187,
15.170,154,
15.180,157,
15.190,149,
15.200,182,
15.210,155,
15.220,163,
15.230,158,
15.240,145,
15.250,163,
15.260,175,
15.270,182,
15.280,136,
15.290,157,
15.300,156,
15.310,145,
15.320,149,
15.330,171,
15.340,153,
15.350,193,
15.360,153,
15.370,152,
15.380,139,
15.390,177,
15.400,150,
15.410,141,
15.420,146,
15.430,138,
15.440,159,
15.450,159,
15.460,162,
15.470,174,
15.480,146,
15.490,149,
15.500,140,
15.510,149,
15.520,141,
15.530,173,
15.540,169,
15.550,144,
15.560,138,
15.570,159,
15.580,161,
15.590,163,
15.600,141,
15.610,155,
15.620,149,
15.630,158,
15.640,156,
15.650,162,
15.660,140,
15.670,162,
15.680,155,
15.690,159,
15.700,161,
15.710,154,
15.720,132,
15.730,167,
15.740,155,
15.750,155,
15.760,163,
15.770,138,
15.780,167,
15.790,165,
15.800,159,
15.810,135,
15.820,134,
15.830,124,
15.840,149,
15.850,137,
15.860,138,
15.870,137,
15.880,174,
15.890,137,
15.900,137,
15.910,126,
15.920,142,
15.930,153,
15.940,129,
15.950,148,
15.960,100,
15.970,131,
15.980,141,
15.990,134,
16.000,133,
16.010,144,
16.020,159,
16.030,148,
16.040,157,
16.050,162,
16.060,157,
16.070,135,
16.080,167,
16.090,147,
16.100,154,
16.110,153,
16.120,170,
16.130,148,
16.140,134,
16.150,141,
16.160,116,
16.170,155,
16.180,154,
16.190,146,
16.200,137,
16.210,131,
16.220,155,
16.230,144,
16.240,116,
16.250,147,
16.260,154,
16.270,140,
16.280,128,
16.290,122,
16.300,140,
16.310,148,
16.320,144,
16.330,119,
16.340,123,
16.350,128,
16.360,147,
16.370,151,
16.380,121,
16.390,150,
16.400,126,
16.410,139,
16.420,143,
16.430,134,
16.440,147,
16.450,151,
16.460,139,
16.470,142,
16.480,142,
16.490,132,
16.500,125,
16.510,141,
16.520,135,
16.530,147,
16.540,141,
16.550,132,
16.560,123,
16.570,132,
16.580,128,
16.590,144,
16.600,130,
16.610,151,
16.620,141,
16.630,131,
16.640,148,
16.650,143,
16.660,137,
16.670,147,
16.680,146,
16.690,148,
16.700,138,
16.710,149,
16.720,129,
16.730,151,
16.740,142,
16.750,130,
16.760,118,
16.770,147,
16.780,170,
16.790,137,
16.800,130,
16.810,142,
16.820,141,
16.830,169,
16.840,150,
16.850,141,
16.860,132,
16.870,115,
16.880,138,
16.890,154,
16.900,132,
16.910,140,
16.920,157,
16.930,144,
16.940,143,
16.950,128,
16.960,153,
16.970,149,
16.980,173,
16.990,145,
17.000,128,
17.010,157,
17.020,123,
17.030,126,
17.040,175,
17.050,144,
17.060,165,
17.070,159,
17.080,159,
17.090,182,
17.100,194,
17.110,205,
17.120,234,
17.130,209,
17.140,308,
17.150,315,
17.160,375,
17.170,417,
17.180,475,
17.190,606,
17.200,739,
17.210,841,
17.220,1009,
17.230,1203,
17.240,1378,
17.250,1683,
17.260,1979,
17.270,2219,
17.280,2566,
17.290,2871,
17.300,3419,
17.310,3717,
17.320,4183,
17.330,4466,
17.340,5138,
17.350,5418,
17.360,5796,
17.370,6356,
17.380,6585,
17.390,7086,
17.400,7349,
17.410,7505,
17.420,7766,
17.430,8081,
17.440,8044,
17.450,8186,
17.460,8179,
17.470,7918,
17.480,7709,
17.490,7517,
17.500,7083,
17.510,6774,
17.520,6303,
17.530,5936,
17.540,5492,
17.550,5022,
17.560,4450,
17.570,3986,
17.580,3635,
17.590,3123,
17.600,2683,
17.610,2344,
17.620,1963,
17.630,1621,
17.640,1352,
17.650,1143,
17.660,972,
17.670,838,
17.680,685,
17.690,558,
17.700,476,
17.710,366,
17.720,339,
17.730,289,
17.740,246,
17.750,203,
