Mon Jan 13 19:20:22 2020

Number of Points = 3013
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-6.785389	-2.973764	3.760077	0.001261	0.476871
-6.870735	-2.944825	3.770074	0.001276	0.476870
-6.830673	-2.959254	3.780070	0.001268	0.476872
-6.830809	-2.960566	3.790067	0.001268	0.476870
-6.883181	-2.916874	3.800064	0.001277	0.476956
-6.588691	-2.951885	3.810061	0.001223	0.477187
-6.479172	-2.991186	3.820058	0.001203	0.477187
-6.681835	-2.921415	3.830054	0.001239	0.477184
-6.667247	-2.926070	3.840051	0.001236	0.477189
-6.334513	-2.962035	3.850048	0.001176	0.477461
-6.322302	-2.953104	3.860045	0.001173	0.477507
-6.233328	-2.986610	3.870042	0.001157	0.477503
-6.345558	-2.947801	3.880038	0.001177	0.477503
-6.367884	-2.918350	3.890035	0.001180	0.477577
-6.017888	-2.964193	3.900032	0.001117	0.477837
-6.097670	-2.936450	3.910029	0.001131	0.477838
-6.098349	-2.939296	3.920026	0.001130	0.477831
-6.091101	-2.933182	3.930022	0.001129	0.477862
-5.891490	-2.937230	3.940019	0.001092	0.478084
-5.878096	-2.943327	3.950016	0.001089	0.478082
-5.864049	-2.948190	3.960013	0.001086	0.478085
-5.715884	-2.944174	3.970010	0.001059	0.478274
-5.581839	-2.954191	3.980006	0.001034	0.478400
-5.644361	-2.934839	3.990003	0.001045	0.478394
-5.667841	-2.927543	4.000000	0.001049	0.478393
-5.435991	-2.949243	4.009997	0.001007	0.478594
-5.382048	-2.937511	4.019994	0.000997	0.478699
-5.440876	-2.915585	4.029990	0.001007	0.478705
-5.356359	-2.946883	4.039987	0.000991	0.478703
-5.237836	-2.913012	4.049984	0.000969	0.478955
-5.122477	-2.932142	4.059981	0.000948	0.479029
-5.074559	-2.951741	4.069978	0.000939	0.479023
-5.018170	-2.972079	4.079974	0.000929	0.479024
-4.977682	-2.958247	4.089971	0.000921	0.479119
-4.859901	-2.937246	4.099968	0.000899	0.479329
